scenario,token,observed,operator_bound,online_bound,online_realized_bound,diagonal_bound,structural_bound,transition_bound,A_norm,B_norm,spectral_radius_A,coefficient_error,update_error,rounding_error,rounding_bound,state_bound,energy_identity_error,driven_energy_identity_error,decomposition_error,approx_decomposition_error
contractive-fp8,4,0.016162816374604046,0.2766128436044418,0.28147664418880197,0.045062999647942845,nan,0.27760366162147343,0.03360899324831965,0.8725798119668041,1.0,0.8725701905005578,0.0003390359416365263,0.0031625772004728074,0.012165434348822543,0.125,0.7694494754594301,1.3552527156068805e-20,5.551115123125783e-17,4.177954752773038e-17,4.1609523318517915e-17
contractive-fp8,5,0.025114832491932693,0.37269973894151787,0.3794432641543548,0.06311509579388895,nan,0.3753699227705297,0.04616862228120339,0.8812244965165019,1.0,0.8811242954299028,0.0011282779337842043,0.0028134471724115167,0.01699138455033513,0.125,0.9379472839272163,8.131516293641283e-20,0.0,9.74242152025702e-17,9.799824795935702e-17
contractive-fp8,6,0.028717509757016733,0.4557923903746326,0.46463449102518856,0.07959488782215442,nan,0.46107896208923904,0.0579387939774406,0.8801223633860533,1.0,0.8799968821404638,0.0007687264201013556,0.002002288883957457,0.018493162696400292,0.125,0.8829595791746331,5.421010862427522e-20,1.6653345369377348e-16,9.297503436487888e-17,9.286715363525021e-17
contractive-fp8,7,0.02811423816612207,0.5414923011137049,0.5525812764699723,0.09618576109492849,nan,0.5477852484137573,0.06758316694952621,0.9044170258219406,1.0,0.9043147941197957,0.0014400716184415003,0.002825831400365299,0.01680035167825187,0.125,0.8765043892943986,1.0842021724855044e-19,0.0,6.526189303155904e-17,6.462733703010546e-17
contractive-fp8,8,0.03166845040813034,0.553441773024488,0.5642398460301932,0.10189541082836143,nan,0.5598704002486696,0.0709459233960792,0.9047818259087184,1.0,0.9047816583614071,0.0002529184783100399,0.0007564616290065035,0.012902251182662713,0.0625,0.8316531350492585,0.0,5.551115123125783e-17,7.249566896177316e-17,7.251447048986112e-17
contractive-fp8,9,0.032908716702536624,0.6265345166979924,0.6390685074473592,0.11749720348303068,nan,0.633556180108222,0.08179818749202546,0.8998776271736912,1.0,0.8998087838001683,0.00046673445907944114,0.0030379127508360733,0.01937883316906504,0.125,0.9848695646564956,3.2526065174565133e-19,2.220446049250313e-16,7.919841306593072e-17,7.847354662867763e-17
contractive-fp8,10,0.032993575776348524,0.660387669425688,0.6759808633361992,0.12998437921154465,nan,0.6677155951839261,0.08825277651245364,0.8465737950306788,1.0,0.8465715297676586,0.0007260896866666718,0.00425387622028986,0.020321677491654602,0.125,1.0716985182428174,1.0842021724855044e-19,1.1102230246251565e-16,8.945831721898802e-17,8.958042994360675e-17
contractive-fp8,11,0.029243115366360803,0.6511677683102469,0.6674828815756108,0.13518785227113983,nan,0.6680511452644299,0.08795060904998607,0.8872415626419389,1.0,0.8868371164809714,0.0010512860027998016,0.0016930945367315334,0.014670500521125692,0.0625,1.0722804184861998,0.0,5.551115123125783e-17,9.25254068648918e-17,9.162575281228962e-17
contractive-fp8,12,0.02566438971429679,0.652300257247015,0.6708808430592277,0.1402408978042315,nan,0.6677081442267877,0.08685744440211214,0.9008402677932098,1.0,0.9008341799015651,0.0009969908049711385,0.0022051196591341845,0.011538729294685359,0.0625,0.9972493253170494,1.0842021724855044e-19,5.551115123125783e-17,8.079441562738767e-17,8.085991959320802e-17
contractive-fp8,13,0.027757977984682335,0.7035673103718975,0.7245470361904992,0.15188949833961185,nan,0.717163670003538,0.09164482602676309,0.8808210110423339,1.0,0.8808197874653743,0.0006278733029572807,0.0033796649774499384,0.01996844427266411,0.125,1.055746226738592,5.421010862427522e-20,5.551115123125783e-17,7.845249761070346e-17,7.875756821328971e-17
contractive-fp8,14,0.026967407356232924,0.6844903976005486,0.7062223997907798,0.15658108511510238,nan,0.7005229498286681,0.09308208593392532,0.8790525921691114,1.0,0.879022102440947,0.001014827346216096,0.002502902306466418,0.01623119309708407,0.0625,1.0290307670506476,1.0842021724855044e-19,1.1102230246251565e-16,7.070446416608295e-17,7.049171948922468e-17
contractive-fp8,15,0.02290173615998588,0.6779285408617258,0.6996643071209151,0.16163561369936938,nan,0.6926697784432968,0.09070682740337886,0.894531734741773,1.0,0.8945244652144254,0.0005969698405985876,0.002533188241422563,0.015791413264051358,0.0625,1.0673140369095162,2.168404344971009e-19,1.6653345369377348e-16,6.423138428095244e-17,6.477409335669902e-17
contractive-fp8,16,0.0244741328244343,0.677803389724175,0.6989262879576323,0.16863311702834805,nan,0.6911971201287048,0.09306230490185746,0.9047227422799141,1.0,0.9047223132896678,0.0005348466911721111,0.0014311744747614833,0.018647212176400363,0.0625,1.033529082934814,5.421010862427522e-20,5.551115123125783e-17,8.40935172765009e-17,8.488735273964656e-17
contractive-fp8,17,0.021016744065662087,0.6501968002941312,0.6720974283081446,0.1647432494764971,nan,0.6618018806616875,0.0882607694875984,0.8636706361354113,1.0,0.8636704063368836,0.0003713295599031284,0.0019265859564117284,0.013039198095775244,0.0625,0.9525370005659635,5.421010862427522e-20,2.7755575615628914e-17,5.89987629970984e-17,5.971304983154314e-17
contractive-fp8,18,0.018752379089512806,0.6548889859305969,0.67477377523526,0.1534905470132502,nan,0.6840101290658024,0.08041319372183743,0.8105209065970517,1.0,0.8101067853669964,0.0005541331482344482,0.0023367527414611096,0.014836923798405633,0.125,1.0037510256616322,5.421010862427522e-20,5.551115123125783e-17,5.107999803578227e-17,5.148930937656028e-17
contractive-fp8,19,0.02088841888008741,0.6529173257311847,0.6724785484621778,0.15606080670768052,nan,0.685682654054574,0.0807368983124902,0.8985333155116773,1.0,0.8985327759937268,0.0004573100377595473,0.0015204438731258117,0.014556436481969618,0.0625,0.9991820298080959,1.0842021724855044e-19,1.1102230246251565e-16,7.639336323791944e-17,7.579553208499203e-17
contractive-fp8,20,0.023147582218037165,0.6339523363839389,0.6528327456508793,0.15440622146239122,nan,0.6625748958756541,0.08213773846894024,0.8733691435576001,1.0,0.8733691079172811,0.00020016073921692976,0.0010143300569586658,0.015314505195980765,0.0625,0.9845717659647437,5.421010862427522e-20,0.0,8.204085195754562e-17,8.171115675621388e-17
